"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4768","YNCG0007C",0.792912372282406,-2.44509868711396,1.29884681106879,-1.88251506357548,0.0597661165697053,0.132060812162219
"4769","YNCG0008W",3.18422812230927,-1.87699597588397,0.657308691044022,-2.85557760221105,0.00429586232585396,0.0152975198618802
"4770","YNCG0009C",0.941217731665164,0.317710493594238,1.15198023209825,0.275795091566415,0.782705453924275,0.86383955585545
"4771","YNCG0010W",307.278813304085,-0.895732258837239,0.0605760455051114,-14.7869054734129,1.77949056449922e-49,1.76141761345352e-47
"4772","YNCG0011W",0.997719041417022,-0.914022838334338,1.04602895172802,-0.873802619730927,0.382225753537004,0.52845922057113
"4773","YNCG0012W",33.9656836122999,-0.587937101208111,0.275720081256095,-2.13236953409288,0.0329764798847432,0.0823437130744377
"4774","YNCG0013W",50.2149531479076,-1.04934191613691,0.171383366141198,-6.12277573817979,9.19590841299067e-10,1.20613001648646e-08
"4775","YNCG0014C",190.4169278205,0.0123459263271681,0.0768611101720338,0.160626437733399,0.872387630971382,0.922577420572534
"4776","YNCG0015C",87.7496373935282,-0.535792039786851,0.141878665821127,-3.77641019307547,0.000159104889323103,0.000859274913778227
"4777","YNCG0016C",2.42822086323312,-0.411797063063304,0.864048244212748,-0.476590359185905,0.63365384983417,0.751300231835947
"4778","YNCG0017W",2.9585353402089,0.169934643579228,0.66468005434262,0.255663822720386,0.79821043220428,0.874099064479535
"4779","YNCG0018C",2.23953208768983,0.84107993520824,0.725040538928284,1.16004539063634,0.246030326119503,0.383514300188744
"4780","YNCG0019W",5.61713041409845,-1.31435471874955,0.494092532123785,-2.66013880659152,0.00781084539372795,0.0254404655883118
"4781","YNCG0020C",4.78195241268112,-0.619783692266514,0.529901767007094,-1.1696199764856,0.242153934597538,0.379151056766041
"4782","YNCG0021W",5.64718949985806,-0.219951831664475,0.457879756681457,-0.480370290354402,0.630964115904546,0.74902084444758
"4783","YNCG0022W",1.40549736270225,-0.44212512059328,0.957749247545152,-0.461629306132591,0.644347174857175,0.758724786750968
"4784","YNCG0023C",11.012309722026,-0.986564193435871,0.369869907214345,-2.66732755001921,0.00764571156661863,0.0250183795322981
"4785","YNCG0024W",154.919318906068,-0.593062888911675,0.0862631928082929,-6.87503985888476,6.19725287527154e-12,1.07560539629713e-10
"4786","YNCG0025C",0.654819289385973,-2.78517054301705,1.22254399556303,-2.27817612546073,0.0227160861276507,0.0613150428711832
"4787","YNCG0026W",34.209176658463,-1.38443138784871,0.184741585643792,-7.49388061721029,6.68665483061585e-14,1.44081490993032e-12
"4788","YNCG0027W",1.39143113124142,-0.424927634435911,0.944455616606497,-0.449918055400749,0.652769528140112,0.764945423745396
